LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
5m30s       Normal    SuccessfulDelete               replicaset/content-service-db8588cf8    Deleted pod: content-service-db8588cf8-6l29w
5m30s       Normal    Killing                        pod/content-service-db8588cf8-6l29w     Stopping container content-service
5m27s       Normal    Created                        pod/content-service-db8588cf8-9zz96     Container created
5m27s       Normal    SuccessfulCreate               replicaset/content-service-db8588cf8    Created pod: content-service-db8588cf8-9zz96
5m27s       Normal    Pulled                         pod/content-service-db8588cf8-9zz96     Container image "streamhub-content-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
5m27s       Normal    Scheduled                      pod/content-service-db8588cf8-9zz96     Successfully assigned streamhub-ms/content-service-db8588cf8-9zz96 to streamhub-lab-control-plane
5m26s       Normal    Started                        pod/content-service-db8588cf8-9zz96     Container started
1s          Warning   Unhealthy                      pod/content-service-db8588cf8-9zz96     Readiness probe failed: Get "http://10.244.0.43:8000/ready": dial tcp 10.244.0.43:8000: connect: connection refused
2m34s       Normal    SuccessfulCreate               replicaset/user-service-cf8f7df87       Created pod: user-service-cf8f7df87-wvdh8
2m34s       Normal    SuccessfulCreate               replicaset/user-service-cf8f7df87       Created pod: user-service-cf8f7df87-dmfdv
2m33s       Normal    Scheduled                      pod/user-service-cf8f7df87-dmfdv        Successfully assigned streamhub-ms/user-service-cf8f7df87-dmfdv to streamhub-lab-control-plane
2m33s       Normal    Scheduled                      pod/user-service-cf8f7df87-wvdh8        Successfully assigned streamhub-ms/user-service-cf8f7df87-wvdh8 to streamhub-lab-control-plane
2m33s       Normal    Started                        pod/user-service-cf8f7df87-wvdh8        Container started
2m33s       Normal    Created                        pod/user-service-cf8f7df87-wvdh8        Container created
2m33s       Normal    Pulled                         pod/user-service-cf8f7df87-wvdh8        Container image "streamhub-user-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
2m33s       Normal    Pulled                         pod/user-service-cf8f7df87-dmfdv        Container image "streamhub-user-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
2m33s       Normal    Created                        pod/user-service-cf8f7df87-dmfdv        Container created
2m33s       Normal    Started                        pod/user-service-cf8f7df87-dmfdv        Container started
2m27s       Warning   Unhealthy                      pod/user-service-cf8f7df87-wvdh8        Readiness probe failed: Get "http://10.244.0.44:8000/ready": dial tcp 10.244.0.44:8000: connect: connection refused
2m27s       Warning   Unhealthy                      pod/user-service-cf8f7df87-dmfdv        Readiness probe failed: Get "http://10.244.0.45:8000/ready": dial tcp 10.244.0.45:8000: connect: connection refused
2m19s       Normal    SuccessfulCreate               replicaset/user-service-cf8f7df87       Created pod: user-service-cf8f7df87-r6cs9
2m18s       Normal    Scheduled                      pod/user-service-cf8f7df87-r6cs9        Successfully assigned streamhub-ms/user-service-cf8f7df87-r6cs9 to streamhub-lab-control-plane
2m18s       Normal    Started                        pod/user-service-cf8f7df87-r6cs9        Container started
2m18s       Normal    Created                        pod/user-service-cf8f7df87-r6cs9        Container created
2m18s       Normal    Pulled                         pod/user-service-cf8f7df87-r6cs9        Container image "streamhub-user-service:local-ci-20260831-cn1" already present on machine and can be accessed by the pod
3s          Warning   Unhealthy                      pod/user-service-cf8f7df87-r6cs9        Readiness probe failed: Get "http://10.244.0.46:8000/ready": dial tcp 10.244.0.46:8000: connect: connection refused
4s          Normal    SuccessfulDelete               replicaset/user-service-cf8f7df87       Deleted pod: user-service-cf8f7df87-dmfdv
4s          Normal    SuccessfulDelete               replicaset/user-service-cf8f7df87       Deleted pod: user-service-cf8f7df87-wvdh8
4s          Normal    SuccessfulDelete               replicaset/user-service-cf8f7df87       Deleted pod: user-service-cf8f7df87-r6cs9
4s          Normal    Killing                        pod/user-service-cf8f7df87-wvdh8        Stopping container user-service
4s          Normal    Killing                        pod/user-service-cf8f7df87-r6cs9        Stopping container user-service
4s          Normal    Killing                        pod/user-service-cf8f7df87-dmfdv        Stopping container user-service
2s          Normal    Killing                        pod/content-service-db8588cf8-9zz96     Stopping container content-service
2s          Normal    SuccessfulDelete               replicaset/content-service-db8588cf8    Deleted pod: content-service-db8588cf8-9zz96
